NBA Total Projections,,,,,,,,,,,,,,
Stats,Home,Away,Weight Total H,Weight Total A,,,Weight Spread H,Weight Spread A,,,Weight OREB H,Weight OREB A,,
Team,LA Lakers,Memphis,,,,,,,,,,,,
Intercept,1,1,-81.88133815,0,-81.88133815,0,-13.30814526,0,-13.30814526,0,68.39849456,0,68.39849456,0
Avg Possessions Per Game L3,99.7,103,0.181999261,0.450822104,18.14532632,46.43467671,,,0,0,,0.017974979,0,1.851422837
Avg Possessions Per Game H/A,104,102.6,1.427794267,1.232838613,148.4906038,126.4892417,,,0,0,0.048939976,0.125686415,5.089757504,12.89542618
Avg PPG TY,117.3,105.8,0,0,0,0,,,0,0,,,0,0
Avg PPG L3,110,109.7,0,0,0,0,,,0,0,,,0,0
Avg PPG H/A,118.4,107.7,0,0,0,0,,,0,0,,0.01275291,0,1.373488407
Avg OPPG TY,116.7,112.8,0,0,0,0,,,0,0,,,0,0
Avg OPPG L3,109.3,119.7,0,0,0,0,,,0,0,,,0,0
Avg OPP H/A,115,114.3,0,0,0,0,,,0,0,,,0,0
Avg PPG Projection,0,0,0,0,0,0,,,0,0,,,0,0
Turnovers Per Offensive Play TY,12.30%,13.30%,0,0,0,0,,,0,0,,,0,0
Turnovers Per Offensive Play L3,8.60%,12.50%,0,5.09389288,0,0.63673661,-5.001424119,,-0.430122474,0,,-1.000523261,0,-0.125065408
Turnovers Per Offensive Play H/A,12.20%,13.50%,0,-23.58324522,0,-3.183738105,-1.72319762,,-0.21023011,0,,,0,0
Opp Turnovers Per Offensive Play TY,11.50%,13.40%,0,0,0,0,,,0,0,,,0,0
Opp Turnovers Per Offensive Play L3,12.40%,15.30%,2.58354359,-4.526913398,0.320359405,-0.69261775,9.606789165,,1.191241856,0,,1.175939678,0,0.179918771
Opp Turnovers Per Offensive Play H/A,11.70%,12.30%,-67.01561331,-63.65698621,-7.840826757,-7.829809304,,,0,0,,,0,0
Turnovers Per Offensive Play Projection,0,0,0,0,0,0,,,0,0,,,0,0
Steals Per Defensive Play TY,6.30%,7.30%,0,0,0,0,,,0,0,,,0,0
Steals Per Defensive Play L3,6.30%,9.50%,0,0,0,0,,,0,0,,,0,0
Steals Per Defensive Play H/A,6.60%,6.80%,0,0,0,0,,,0,0,,0.067253499,0,0.004573238
Opp Steals Per Defensive Play TY,7.20%,7.20%,0,0,0,0,,,0,0,,,0,0
Opp Steals Per Defensive Play L3,5.80%,7.10%,0,0,0,0,,,0,0,,,0,0
Opp Steals Per Defensive Play H/A,7.00%,7.30%,0,0,0,0,,,0,0,0.20790378,,0.014553265,0
Steals Per Defensive Play Projection,0,0,0,0,0,0,,,0,0,,,0,0
Defensive Rebounding % TY,76.20%,74.80%,0,0,0,0,,,0,0,,,0,0
Defensive Rebounding % L3,75.40%,69.60%,-4.291892107,0,-3.236086649,0,6.443208308,,4.858179064,0,,-0.129343945,0,-0.090023386
Defensive Rebounding % H/A,76.60%,74.80%,-52.4460992,-49.91711275,-40.17371199,-37.33800034,15.9503027,-1.755818397,12.21793187,-1.313352161,-12.42543167,-6.464886614,-9.517880659,-4.835735187
Defensive Rebounding % TY,80.20%,76.20%,0,0,0,0,,,0,0,,,0,0
Defensive Rebounding % L3,79.40%,70.80%,-8.387312731,-1.398356639,-6.659526308,-0.9900365,-5.804245875,4.366478856,-4.608571225,3.09146703,-1.191351138,-2.143514255,-0.945932804,-1.517608093
Defensive Rebounding % H/A,79.50%,75.60%,-6.328858625,-29.69011116,-5.031442607,-22.44572404,,,0,0,-23.32485999,-32.81383277,-18.54326369,-24.80725757
Defensive Rebounding % Projection,0,0,0,0,0,0,,,0,0,,,0,0
eFG% TY,56.40%,50.90%,0,0,0,0,,,0,0,,,0,0
