GAME_ID,VISITOR_TEAM_ID,HOME_TEAM_ID,TEAM_A,TEAM_H,GAME_DATE_EST,SEASON,Spread,Total,OREB,PTS_home,FT_PCT_home,AST_home,PTS_away,FT_PCT_away,AST_away,FTA_H,STL_H,BLK_H,PF_H,FTA_A,STL_A,BLK_A,PF_A,POSS_H,POSS_A,eFG_PCT_H,eFG_PCT_A,TO_PCT_H,TO_PCT_A,DREB_PCT_H,DREB_PCT_A,W_PCT_H,W_PCT_A
20900704,1610612738,1610612764,Boston,Washington,2/1/10,2009,-11,187,13,88,0.861,15,99,0.778,24,36,10,2,24,36,6,6,23,88.1664,86.2464,0.395944444,0.572193548,0.147448461,0.18551499,0.866666667,0.795454545,0.34,0.652
20900705,1610612749,1610612748,Milwaukee,Miami,2/1/10,2009,-16,178,20,81,0.679,13,97,0.818,22,28,11,4,19,22,7,4,23,86.7072,84.1728,0.403,0.54130137,0.138396811,0.166324513,0.75,0.775510204,0.5,0.457
20900706,1610612747,1610612763,L.A. Lakers,Memphis,2/1/10,2009,2,188,17,95,0.688,14,93,0.63,17,32,7,3,21,27,7,0,24,90.3168,91.0848,0.44547561,0.520794521,0.110721372,0.164681703,0.880952381,0.739130435,0.553,0.755
20900707,1610612756,1610612740,Phoenix,New Orleans,2/1/10,2009,-9,209,21,100,0.75,30,109,0.739,28,16,8,1,19,23,6,7,15,93.1584,94.1952,0.4893,0.554180723,0.118078456,0.159243783,0.72972973,0.755555556,0.542,0.58
20900708,1610612758,1610612743,Sacramento,Denver,2/1/10,2009,3,221,13,112,0.684,27,109,0.917,27,38,7,6,20,24,4,5,29,105.3312,99.4176,0.48341573,0.530634146,0.085444769,0.191113042,0.777777778,0.888888889,0.688,0.34
20900709,1610612742,1610612762,Dallas,Utah,2/1/10,2009,12,196,22,104,0.88,26,92,0.889,20,25,11,6,16,18,8,7,20,87.36,88.2432,0.519341772,0.487666667,0.16025641,0.169984769,0.769230769,0.657894737,0.617,0.625
20900710,1610612766,1610612757,Charlotte,Portland,2/1/10,2009,19,177,24,98,0.846,21,79,0.875,15,13,9,3,20,24,9,1,16,82.2912,81.1776,0.579666667,0.452898438,0.218735418,0.258692053,0.702702703,0.617647059,0.58,0.511
20900711,1610612763,1610612739,Memphis,Cleveland,2/2/10,2009,16,194,23,105,0.833,27,89,0.739,17,24,9,10,18,23,13,4,21,95.5776,98.9952,0.524888889,0.390880435,0.188328646,0.141420998,0.717391304,0.72972973,0.78,0.542
20900712,1610612761,1610612754,Toronto,Indiana,2/2/10,2009,15,245,23,130,0.943,24,115,0.735,27,35,6,7,27,34,2,5,28,100.224,104.6016,0.577571429,0.489478261,0.139687101,0.152961331,0.725490196,0.780487805,0.347,0.531
20900713,1610612749,1610612753,Milwaukee,Orlando,2/2/10,2009,17,181,20,99,0.706,21,82,0.474,17,34,5,8,15,19,5,4,24,89.2416,90.5856,0.52843662,0.40143956,0.145671974,0.09935354,0.754385965,0.833333333,0.673,0.447
20900714,1610612765,1610612751,Detroit,New Jersey,2/2/10,2009,-4,190,18,93,0.821,24,97,0.75,24,28,5,5,18,24,10,1,20,86.7072,86.9376,0.479431507,0.481292683,0.149929879,0.092020024,0.761904762,0.783783784,0.085,0.34
