Variable,Coefficient,,,,,,,,,
(Intercept),68.39849456,,,,,,,,,
AVG_OPPG_TY_A,0.01275291,,,,,,,,,
AVG_OAPG_TY_A,0.034982158,,,,,,,,,
AVG_APG_L3_A,0.017633546,,,,,,,,,
AVG_BPG_TY_H,0.097986928,,,,,,,,,
AVG_BPG_TY_A,0.22297751,,,,,,,,,
AVG_BPG_L3_A,0.05464023,,,,,,,,,
AVG_OBPG_L3_A,0.006233945,,,,,,,,,
AVG_OSPG_TY_H,0.20790378,,,,,,,,,
AVG_SPG_TY_A,0.067253499,,,,,,,,,
AVG_OPF_PG_TY_A,-0.003468967,,,,,,,,,
AVG_W_PCT_TY_A,-0.770490689,,,,,,,,,
AVG_OW_PCT_TY_A,0.660452144,,,,,,,,,
AVG_W_PCT_L3_A,-0.104465381,,,,,,,,,
AVG_OW_PCT_L3_A,0.94866249,,,,,,,,,
AVG_FT_PCT_PG_TY_H,-8.174492558,,,,,,,,,
AVG_OFT_PCT_PG_TY_A,-0.95516359,,,,,,,,,
AVG_FT_PCT_PG_L3_A,-0.896461835,,,,,,,,,
AVG_DREB_PCT_PG_TY_H,-12.42543167,,,,,,,,,
AVG_ODREB_PCT_PG_TY_H,-23.32485999,,,,,,,,,
AVG_ODREB_PCT_PG_L3_H,-1.191351138,,,,,,,,,
AVG_DREB_PCT_PG_TY_A,-6.464886614,,,,,,,,,
AVG_ODREB_PCT_PG_TY_A,-32.81383277,,,,,,,,,
AVG_DREB_PCT_PG_L3_A,-0.129343945,,,,,,,,,
AVG_ODREB_PCT_PG_L3_A,-2.143514255,,,,,,,,,
AVG_FTA_PG_TY_H,-0.062078741,,,,,,,,,
AVG_OFTA_PG_TY_H,0.0272745,,,,,,,,,
AVG_FTA_PG_L3_H,0.007307369,,,,,,,,,
AVG_FTA_PG_TY_A,0.014623673,,,,,,,,,
AVG_FTA_PG_L3_A,0.000632629,,,,,,,,,
AVG_TO_PCT_PG_L3_A,-1.000523261,,,,,,,,,
AVG_OTO_PCT_PG_L3_A,1.175939678,,,,,,,,,
AVG_POSS_PG_TY_H,0.048939976,,,,,,,,,
AVG_POSS_PG_TY_A,0.125686415,,,,,,,,,
AVG_POSS_PG_L3_A,0.017974979,,,,,,,,,
AVG_eFG_PCT_PG_TY_H,-5.754252368,,,,,,,,,
AVG_eFG_PCT_PG_L3_H,-3.372861497,,,,,,,,,
