Variable,Coefficient,,,,,,,,,
(Intercept),-81.88133815,,,,,,,,,
AVG_OAPG_TY_H,0.077091625,,,,,,,,,
AVG_OAPG_TY_A,0.362325068,,,,,,,,,
AVG_PF_PG_TY_H,-0.160709709,,,,,,,,,
AVG_OPF_PG_L3_H,-0.202179587,,,,,,,,,
AVG_PF_PG_TY_A,-0.176600613,,,,,,,,,
AVG_OW_PCT_TY_H,-9.732582619,,,,,,,,,
AVG_OW_PCT_L3_H,-2.163801101,,,,,,,,,
AVG_FT_PCT_PG_TY_H,13.55807381,,,,,,,,,
AVG_FT_PCT_PG_L3_H,2.762910482,,,,,,,,,
AVG_OFT_PCT_PG_L3_H,0.260591065,,,,,,,,,
AVG_OFT_PCT_PG_TY_A,-13.77410523,,,,,,,,,
AVG_OFT_PCT_PG_L3_A,2.307009591,,,,,,,,,
AVG_DREB_PCT_PG_TY_H,-52.4460992,,,,,,,,,
AVG_ODREB_PCT_PG_TY_H,-6.328858625,,,,,,,,,
AVG_DREB_PCT_PG_L3_H,-4.291892107,,,,,,,,,
AVG_ODREB_PCT_PG_L3_H,-8.387312731,,,,,,,,,
AVG_DREB_PCT_PG_TY_A,-49.91711275,,,,,,,,,
AVG_ODREB_PCT_PG_TY_A,-29.69011116,,,,,,,,,
AVG_DREB_PCT_PG_L3_A,-1.398356639,,,,,,,,,
AVG_FTA_PG_TY_H,0.061383383,,,,,,,,,
AVG_FTA_PG_L3_H,0.135752684,,,,,,,,,
AVG_FTA_PG_L3_A,0.066740442,,,,,,,,,
AVG_OTO_PCT_PG_TY_H,-67.01561331,,,,,,,,,
AVG_OTO_PCT_PG_L3_H,2.58354359,,,,,,,,,
AVG_TO_PCT_PG_TY_A,5.09389288,,,,,,,,,
AVG_OTO_PCT_PG_TY_A,-63.65698621,,,,,,,,,
AVG_TO_PCT_PG_L3_A,-23.58324522,,,,,,,,,
AVG_OTO_PCT_PG_L3_A,-4.526913398,,,,,,,,,
AVG_POSS_PG_TY_H,1.166596211,,,,,,,,,
AVG_OPOSS_PG_TY_H,0.261198056,,,,,,,,,
AVG_POSS_PG_L3_H,0.181999261,,,,,,,,,
AVG_POSS_PG_TY_A,1.232838613,,,,,,,,,
AVG_POSS_PG_L3_A,0.450822104,,,,,,,,,
AVG_eFG_PCT_PG_TY_H,10.01726833,,,,,,,,,
AVG_OeFG_PCT_PG_TY_H,75.88895758,,,,,,,,,
AVG_eFG_PCT_PG_L3_H,29.96772041,,,,,,,,,
AVG_OeFG_PCT_PG_L3_H,3.354211852,,,,,,,,,
AVG_eFG_PCT_PG_TY_A,36.12803906,,,,,,,,,
AVG_OeFG_PCT_PG_TY_A,56.05645074,,,,,,,,,
AVG_eFG_PCT_PG_L3_A,9.265267102,,,,,,,,,
AVG_OeFG_PCT_PG_L3_A,7.748827133,,,,,,,,,
